title;artist;album;isrc;addedDate;addedBy;duration;url
"Playing Daze";"South Beach Recycling";"Third Level";UKACT1662845;"2020-07-04 23:39";1218037846;652s;https://open.spotify.com/track/4wUcwTAtVwelURvNQLWTmT
"He's the Greatest Dancer";"Sister Sledge";"We Are Family";USAT20102201;"2020-07-04 23:40";1218037846;375s;https://open.spotify.com/track/5WwRKYnVy9dekqXAGPbAvU
"Blame It on the Boogie";"The Jacksons";Destiny;USSM17801024;"2020-07-04 23:40";1218037846;214s;https://open.spotify.com/track/3qI94hINNNeb4S7xQi18lS
"Get Down On It";"Kool & The Gang";"The Very Best Of Kool & The Gang (Reissue)";USPR38100044;"2020-07-04 23:40";1218037846;213s;https://open.spotify.com/track/4yKZACkuudvfd600H2dQie
"Shining - Joey Negro Tribute to Leroy Burgess Mix";"Venus Dodson";"Shining (Joey Negro Tribute To Leroy Burgess)";USRH11801610;"2020-07-04 23:41";1218037846;451s;https://open.spotify.com/track/1A4s8XUUIvT2L9BtDWY43R
"Dancing into the Stars";Logg;Logg;QMRSZ1600711;"2020-07-04 23:41";1218037846;325s;https://open.spotify.com/track/1uAijxIKOQVllUhlbEVku4
"Night Rider";"Venus Dodson";"Shining (Joey Negro Tribute To Leroy Burgess)";USWB17900071;"2020-07-04 23:41";1218037846;403s;https://open.spotify.com/track/0oytIamFvVetbnQda5hhrx
"Bizarre Love Triangle - Shep Pettibone 12"" Remix";"New Order, Stephen Morris";"Brotherhood (Collector's Edition)";GBCRL0800403;"2020-07-04 23:41";1218037846;406s;https://open.spotify.com/track/7y5fzeYh5bLrlJRB1OZrln
"Operator (DJ Koze's 12 inch Extended Disco Version)";"Låpsley, DJ Koze";"Operator (DJ Koze's 12 inch Extended Disco Versions)";GBBKS1600067;"2020-07-04 23:43";1218037846;603s;https://open.spotify.com/track/3nurL7U3qpB67uchHosAOO
"Mont Blanc (Purple Disco Machine Remix) - Extended";"Mind Enterprises, Purple Disco Machine";"Mont Blanc (Purple Disco Machine Remix)";GBMVH2000250;"2020-07-04 23:45";1218037846;485s;https://open.spotify.com/track/7Jo73QzPI23qDQ1P5rKgDO
"Drop The Pressure - Purple Disco Machine Remix Edit";"Claptone, Mylo, Purple Disco Machine";"Drop The Pressure (Purple Disco Machine Remix)";GBENL2002692;"2020-07-04 23:48";1218037846;224s;https://open.spotify.com/track/5axHTs0PrOE7oZj9Ws6Wfd
"Black Feather - Original Mix";"Eric Torsen";"Black Feather - The Remixes";DEBL61108000;"2020-07-04 23:49";1218037846;541s;https://open.spotify.com/track/2awW0GGF18mlt06bhD6eeV
"Upper Thrust - Chris Simon Remix";"Waze & Odyssey, Chris Simon";"Upper Thrust";GBJX31812006;"2020-07-04 23:50";1218037846;345s;https://open.spotify.com/track/0ThuoRkQEY42dneJv3XibG
"Menace II Society";"Mall Grab";"Menace II Society";UK34N1300149;"2020-07-04 23:52";1218037846;399s;https://open.spotify.com/track/6nW3LEgsZNf9fbFl7D1qBa
"Play at Your Own Risk - 12"" Version";"Planet Patrol";"Planet Patrol";USTB11800509;"2020-07-04 23:53";1218037846;468s;https://open.spotify.com/track/285d8Zaso5TiA4jTxPiiKu
"Ride It";Regard;"Ride It";GBCEN1900047;"2020-07-04 23:53";1218037846;158s;https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
"The Glow of Love - Long Version";"Change, Luther Vandross";"Magical Night (Greatest Hits Special Price)";ITB450900108;"2020-07-04 23:54";1218037846;497s;https://open.spotify.com/track/0DNvJnhZn3o23K46vLTmk1
"Stop Space Return";"Crazy P";"Stop Space Return (Bonus Track Version)";GBEWY0800376;"2020-07-04 23:54";1218037846;320s;https://open.spotify.com/track/6Bpxv5xnrvR4O0NNyKnFNL
"Lei Lo Lai";"The Latin Project";"The Latin Project";USEM40300301;"2020-07-04 23:54";1218037846;259s;https://open.spotify.com/track/7JVjwzUGHZ3yPQZx7qCs66
